x-axis,F1
Hertz,dBV
+2.315000E+03,-59.935444E+00
+2.320000E+03,-59.935444E+00
+2.325000E+03,-59.935444E+00
+2.330000E+03,-59.935444E+00
+2.335000E+03,-59.935444E+00
+2.340000E+03,-59.935444E+00
+2.345000E+03,-59.935444E+00
+2.350000E+03,-59.935444E+00
+2.355000E+03,-59.935444E+00
+2.360000E+03,-59.935444E+00
+2.365000E+03,-59.935444E+00
+2.370000E+03,-59.935444E+00
+2.375000E+03,-59.935444E+00
+2.380000E+03,-59.935444E+00
+2.385000E+03,-59.935444E+00
+2.390000E+03,-59.935444E+00
+2.395000E+03,-59.935444E+00
+2.400000E+03,-59.935444E+00
+2.405000E+03,-59.935444E+00
+2.410000E+03,-59.935444E+00
+2.415000E+03,-59.935444E+00
+2.420000E+03,-59.935444E+00
+2.425000E+03,-59.935444E+00
+2.430000E+03,-59.935444E+00
+2.435000E+03,-59.935444E+00
+2.440000E+03,-59.935444E+00
+2.445000E+03,-59.935444E+00
+2.450000E+03,-59.935444E+00
+2.455000E+03,-59.935444E+00
+2.460000E+03,-59.935444E+00
+2.465000E+03,-59.935444E+00
+2.470000E+03,-59.935444E+00
+2.475000E+03,-59.935444E+00
+2.480000E+03,-59.935444E+00
+2.485000E+03,-59.935444E+00
+2.490000E+03,-59.935444E+00
+2.495000E+03,-59.935444E+00
+2.500000E+03,-59.935444E+00
+2.505000E+03,-59.935444E+00
+2.510000E+03,-59.935444E+00
+2.515000E+03,-59.935444E+00
+2.520000E+03,-59.935444E+00
+2.525000E+03,-59.935444E+00
+2.530000E+03,-59.935444E+00
+2.535000E+03,-59.935444E+00
+2.540000E+03,-59.935444E+00
+2.545000E+03,-59.935444E+00
+2.550000E+03,-59.935444E+00
+2.555000E+03,-59.935444E+00
+2.560000E+03,-59.935444E+00
+2.565000E+03,-59.935444E+00
+2.570000E+03,-59.935444E+00
+2.575000E+03,-59.935444E+00
+2.580000E+03,-59.935444E+00
+2.585000E+03,-59.935444E+00
+2.590000E+03,-59.935444E+00
+2.595000E+03,-59.935444E+00
+2.600000E+03,-59.935444E+00
+2.605000E+03,-59.935444E+00
+2.610000E+03,-59.935444E+00
+2.615000E+03,-59.935444E+00
+2.620000E+03,-59.935444E+00
+2.625000E+03,-59.935444E+00
+2.630000E+03,-59.935444E+00
+2.635000E+03,-59.935444E+00
+2.640000E+03,-59.935444E+00
+2.645000E+03,-59.935444E+00
+2.650000E+03,-59.935444E+00
+2.655000E+03,-59.935444E+00
+2.660000E+03,-59.935444E+00
+2.665000E+03,-59.935444E+00
+2.670000E+03,-59.935444E+00
+2.675000E+03,-59.935444E+00
+2.680000E+03,-59.935444E+00
+2.685000E+03,-59.935444E+00
+2.690000E+03,-59.935444E+00
+2.695000E+03,-59.935444E+00
+2.700000E+03,-59.935444E+00
+2.705000E+03,-59.935444E+00
+2.710000E+03,-59.935444E+00
+2.715000E+03,-59.935444E+00
+2.720000E+03,-59.935444E+00
+2.725000E+03,-59.935444E+00
+2.730000E+03,-59.935444E+00
+2.735000E+03,-59.935444E+00
+2.740000E+03,-59.935444E+00
+2.745000E+03,-59.935444E+00
+2.750000E+03,-59.935444E+00
+2.755000E+03,-59.935444E+00
+2.760000E+03,-59.935444E+00
+2.765000E+03,-59.935444E+00
+2.770000E+03,-59.303304E+00
+2.775000E+03,-58.575784E+00
+2.780000E+03,-57.848264E+00
+2.785000E+03,-57.120744E+00
+2.790000E+03,-56.393224E+00
+2.795000E+03,-55.665704E+00
+2.800000E+03,-54.938184E+00
+2.805000E+03,-54.210664E+00
+2.810000E+03,-53.483144E+00
+2.815000E+03,-52.755624E+00
+2.820000E+03,-52.028104E+00
+2.825000E+03,-51.300584E+00
+2.830000E+03,-50.573064E+00
+2.835000E+03,-49.845544E+00
+2.840000E+03,-49.118024E+00
+2.845000E+03,-48.390504E+00
+2.850000E+03,-47.662984E+00
+2.855000E+03,-46.935464E+00
